activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
1,1,14,831,715,685,473,524,590,1132,652,18,33052,0,35953
2,2,15,1045,350,710,169,344,664,546,386,297,28842,1,35956
0,0,15,417,477,352,126,679,332,904,99,387,22340,0,35952
1,1,14,476,203,502,460,588,417,445,630,358,32669,0,35959
2,2,14,1103,789,77,338,382,195,120,508,394,29071,1,35969
2,2,14,1035,773,659,431,272,528,822,337,499,29331,1,35939
1,1,14,685,367,345,638,462,574,187,553,185,33655,0,35932
1,1,14,807,428,352,290,521,593,570,200,439,34604,0,35932
0,0,14,358,654,515,1196,1086,384,781,144,610,4125,0,35926
0,0,14,309,575,429,646,334,803,927,223,239,29785,0,35915
0,0,14,365,182,754,466,258,536,323,612,66,21637,0,35903
1,1,14,504,319,628,78,178,149,651,214,338,34529,0,35936
1,2,14,911,377,371,573,551,887,585,540,135,30815,0,35942
1,1,14,822,270,331,269,509,882,972,533,188,30348,0,35933
0,0,14,258,322,507,859,798,55,773,989,511,30731,0,35940
1,1,15,674,466,559,1026,415,736,797,744,377,32513,0,35953
3,3,15,1614,1076,120,288,542,385,584,178,438,31016,1,35962
0,0,14,277,406,854,606,555,825,193,476,304,14140,0,35942
2,2,14,1000,620,408,487,75,201,191,618,397,30879,0,35917
0,0,14,442,223,288,544,433,296,422,489,671,31796,0,35889
2,2,14,1037,509,513,526,464,451,751,23,774,29323,1,35886
1,1,14,801,481,281,492,344,465,416,350,175,26689,1,35896
0,1,14,654,1069,125,242,122,290,387,411,783,25228,1,35904
1,2,15,908,568,138,122,551,387,275,1117,739,31072,0,35899
1,2,14,867,244,823,616,392,418,526,505,312,24108,1,35885
1,1,14,626,566,292,484,441,519,284,476,302,30183,0,35887
1,1,14,726,738,102,441,108,349,371,638,373,30516,0,35906
1,1,14,644,350,717,337,587,383,979,653,177,29706,0,35921
2,2,15,1104,510,166,236,757,286,126,287,432,33428,0,35930
3,3,14,1418,235,272,506,276,342,575,204,123,34203,0,35926
0,0,14,325,397,692,160,507,457,616,313,474,30164,0,35965
1,1,14,703,104,610,400,1033,430,363,505,1045,26728,1,35995
1,1,14,803,482,1023,781,648,906,330,740,313,30315,0,35995
0,0,15,431,374,478,740,223,478,613,256,300,25870,0,35975
2,2,14,1033,79,520,498,440,337,339,192,83,31387,0,35975
0,0,14,368,1000,516,287,987,630,475,472,781,23244,0,35960
2,2,14,1038,244,297,746,374,412,136,510,749,33513,0,35975
0,1,15,451,569,639,632,579,231,1039,443,480,32291,0,36002
0,1,14,803,188,934,509,573,465,154,391,363,16631,1,36017
1,1,14,642,682,655,561,490,238,325,376,446,28784,0,36016
2,2,14,1153,396,345,430,472,728,95,93,664,32087,0,36011
0,0,14,49,184,410,399,249,366,496,641,331,20223,0,36028
0,0,14,283,327,1102,526,532,551,761,903,167,32002,0,36042
3,3,14,1489,589,781,723,697,538,431,530,550,34827,0,36028
1,1,14,770,735,262,505,253,672,536,274,356,29314,0,36006
0,0,15,265,704,662,481,814,186,263,329,168,12813,0,36004
1,1,14,531,596,612,654,812,191,539,861,124,31402,0,35998
1,1,14,563,737,672,567,1081,647,489,526,610,34144,0,35980
1,1,14,811,604,406,360,162,387,718,320,297,33883,0,35964
1,1,14,819,315,957,462,107,469,121,1134,665,26922,1,35959
3,3,14,1542,690,607,298,314,865,1180,155,225,35037,0,35970
0,1,14,713,391,214,190,443,622,382,511,770,23788,1,35946
1,1,14,823,466,1320,281,185,858,227,391,292,33450,0,35939
1,1,15,695,695,135,1226,299,71,662,326,306,34966,0,35949
2,2,14,1246,324,95,825,180,333,301,507,389,30629,1,35946
0,1,14,511,249,261,626,799,618,495,385,476,19665,1,35950
1,1,15,751,595,766,837,181,481,274,126,597,26599,1,35946
2,2,14,913,830,731,463,732,742,307,797,765,34181,0,35935
2,2,14,1073,735,610,161,564,1080,612,383,679,34036,0,35920
0,1,14,536,683,86,412,665,208,231,317,287,21050,1,35921
0,0,14,185,274,934,313,1135,841,767,577,510,34588,0,35918
2,2,15,1197,164,110,431,230,280,349,1331,157,34978,0,35911
2,2,14,1151,1077,429,346,267,454,323,215,1064,32403,0,35928
1,1,14,532,343,219,260,281,702,754,537,99,31901,0,35952
2,2,14,1193,447,343,559,472,338,482,715,382,30274,1,35935
0,0,14,355,785,162,881,249,618,571,336,626,27135,0,35906
1,1,14,558,235,932,394,551,605,142,697,556,33258,0,35913
1,1,14,830,377,308,413,689,233,73,1012,534,28606,1,35932
