activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
14774,14775,4143,9246,2562,844,1958,27791,578,41569,808,48425,68,91,34825
14786,14786,4144,11884,2965,64000,3560,29454,1077,41220,1866,46832,67,88,34839
14781,14782,4144,10649,1992,64534,2066,25814,708,42028,757,48429,68,90,34833
14781,14781,4144,10823,2825,64811,2374,27393,856,41602,791,47372,67,89,34832
14777,14778,4143,9742,2280,65245,2325,26528,319,41897,727,47437,69,91,34829
14770,14771,4142,7785,2154,472,2632,24025,1644,43540,1300,49087,69,91,34822
14785,14785,4144,11288,2129,64560,3153,26607,951,42190,662,47190,67,88,34839
14784,14784,4144,10735,2019,64907,2315,26616,231,41334,1008,47095,67,88,34840
14780,14781,4143,9812,2549,1787,2391,25434,2253,43772,1076,49082,69,91,34835
14787,14787,4144,11907,2442,64066,3237,28447,650,42314,1167,47092,68,90,34841
14780,14781,4143,9938,2603,64406,2654,27780,677,42086,1097,46941,68,89,34836
14780,14780,4143,10338,2976,64057,2545,23851,1639,43478,1024,49125,69,91,34832
14778,14778,4143,9331,2818,63287,2501,28194,645,42579,1299,47063,67,88,34832
14770,14770,4142,8050,2243,65202,2000,26684,961,42650,703,47067,67,89,34821
14755,14755,4140,4519,2319,690,1985,24900,2560,43348,1264,48539,70,92,34802
14756,14756,4140,5109,1711,63268,2197,26254,511,40908,1093,47174,66,88,34803
14756,14756,4140,4552,2850,668,2714,25768,1183,42670,1191,49180,69,91,34805
14751,14751,4139,3955,2560,63692,2902,27256,594,42150,901,46776,66,87,34798
14757,14757,4140,5390,2222,63393,2459,27760,584,41064,1473,45997,65,86,34804
14761,14761,4141,6099,2521,63387,2096,27942,922,42404,1494,47682,68,90,34809
14765,14766,4141,7189,2274,63875,2438,26211,1079,42988,1233,47728,68,90,34814
14757,14757,4140,5077,2231,63563,2560,25121,1371,42121,278,48786,69,91,34805
14754,14754,4140,4649,2610,62488,3136,26944,361,40919,1147,46793,66,87,34801
14748,14748,4138,2364,2579,62602,2720,26806,597,41930,686,47837,67,88,34798
14732,14732,4136,64217,2220,63229,2689,24473,2450,43752,1768,49324,70,92,34780
14742,14742,4138,1342,2136,62162,1733,26648,819,41318,780,47532,67,89,34789
14748,14748,4139,2718,2349,62138,2006,25852,727,41092,550,47970,68,90,34797
14746,14747,4139,2647,2426,61008,2677,25077,1115,40483,819,47576,68,90,34794
14746,14747,4138,2345,2263,61957,3023,25198,553,40103,1197,47751,67,88,34795
14755,14755,4140,4344,2622,61928,1873,25921,944,39980,565,47470,68,90,34805
14750,14750,4139,3165,1933,62321,2202,25144,878,41039,1484,47260,69,91,34798
