activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
7932,7932,2163,53787,895,38139,1100,17824,815,22816,409,24009,139,98,35801
7924,7925,2162,51951,1312,40032,1545,17732,1304,22845,758,24754,141,100,35786
7933,7933,2164,54244,1227,38286,1292,19135,507,23230,660,23228,137,97,35802
7933,7934,2164,54189,2213,38321,1430,17510,746,23356,667,24243,139,99,35804
7931,7932,2163,53506,1621,38831,1997,17831,657,23420,603,24597,141,100,35802
7934,7935,2164,54444,1254,38086,1460,18978,540,23259,1021,24541,140,99,35806
7925,7925,2163,52305,1346,38820,1211,17885,1774,23751,920,25601,144,102,35784
7930,7931,2163,53237,1800,38364,1336,18506,285,22866,933,24384,140,99,35802
7940,7941,2164,55219,740,38587,1008,19297,1410,22036,627,23406,141,100,35823
7937,7938,2164,55321,1455,38114,2004,19723,413,21849,1387,23757,139,99,35810
7934,7934,2164,54337,1728,38484,1617,19050,1066,22698,341,24423,142,101,35804
7932,7933,2163,53734,1585,38076,1656,18207,334,22513,507,23766,142,100,35803
7934,7934,2164,54201,1089,39004,1535,18112,961,22386,321,24123,141,100,35805
7937,7938,2164,54969,1377,37679,2250,18573,565,21038,1693,23604,138,98,35815
7935,7935,2164,54562,912,39097,1896,17242,1495,22792,464,25029,141,100,35807
7934,7935,2164,54246,1199,38560,1188,17826,1094,23101,96,24965,141,100,35808
7940,7941,2164,55304,1825,38184,1948,19272,620,21717,385,24137,143,101,35822
7952,7952,2166,58372,1906,37607,2661,19840,203,21555,1351,23172,137,97,35845
7951,7952,2166,58093,1205,37897,1845,18329,1376,22383,421,24480,142,101,35844
7945,7945,2165,56737,1029,37476,1832,18427,429,21534,607,23983,138,98,35831
7942,7943,2165,55801,1334,38574,1872,19303,130,21688,704,23803,141,100,35828
7944,7945,2165,56640,1753,39463,935,17620,1425,22700,1291,25454,141,100,35827
7947,7947,2166,57309,1600,37442,2304,19543,842,21678,915,23655,138,98,35833
7952,7952,2166,58129,1769,39572,1196,18823,1335,23680,576,25489,142,101,35846
7955,7955,2167,58864,1407,38130,1390,19982,229,21956,206,23614,139,99,35853
7942,7942,2165,56172,1005,38153,2410,19078,454,21891,1121,23929,139,99,35822
7947,7948,2166,57499,1056,38517,1111,18590,819,22007,1010,24607,141,100,35831
7947,7947,2165,56877,2169,36852,1865,20042,730,21019,1099,23571,137,97,35838
7949,7950,2166,57866,1439,38281,1483,17792,1206,23098,1102,25057,141,100,35838
7948,7949,2166,57576,1646,37533,2063,18458,440,22321,300,24544,139,99,35837
7945,7945,2165,57046,874,38005,944,19071,509,22175,908,23841,139,98,35827
7945,7945,2165,56973,1263,38070,1380,19872,1012,23059,507,24976,139,99,35828
7951,7952,2166,58197,1238,38469,1010,20111,443,22291,342,23991,142,101,35843
7947,7948,2166,57243,1945,37561,1553,20916,165,22481,891,23402,139,99,35837
7939,7939,2164,55213,1286,38634,1076,19118,1104,21894,529,24716,141,100,35818
7942,7943,2165,56037,1309,38597,652,18902,796,21619,196,24612,140,99,35824
7949,7949,2166,57880,1333,38365,1655,19117,841,22339,129,24186,140,100,35836
7950,7951,2166,57840,1238,38533,1294,18858,952,22192,907,25220,141,100,35841
7948,7948,2165,57107,1187,38223,1929,19726,118,21569,1203,24477,139,98,35840
7937,7937,2164,54869,1502,38312,1609,18679,1142,22795,1114,25718,141,100,35812
7936,7937,2164,54725,801,37693,968,18387,460,22027,739,24800,139,99,35811
7943,7944,2165,56695,1881,36834,1466,20944,282,22065,1858,23359,137,97,35825
7936,7937,2164,54615,863,38737,2114,19049,640,22510,542,24016,138,98,35813
7934,7935,2164,54698,780,38395,2235,18566,936,21754,573,24929,141,100,35803
7935,7936,2164,55106,1407,38027,1454,19212,950,22273,731,24484,140,99,35804
7932,7933,2163,53847,1280,37592,1785,18161,255,22302,503,24813,141,100,35802
7932,7932,2163,53880,805,38615,1432,18922,824,22655,772,24655,139,98,35801
7933,7933,2164,54376,1128,38233,1476,20097,1018,22397,621,24806,141,100,35800
7931,7932,2164,53948,571,39069,1727,19044,718,21874,203,24746,142,101,35797
7926,7926,2163,52811,1790,37600,1673,18174,594,21375,1308,24576,137,97,35785
7914,7915,2161,50178,927,38708,1592,18305,1051,22422,621,24563,139,98,35760
7922,7922,2162,51774,1507,37859,1767,18706,1016,22349,325,24456,142,100,35778
7922,7923,2162,52134,643,38712,1345,19138,831,23092,664,25267,142,100,35777
7921,7921,2162,51736,1389,37192,2216,19809,270,22651,1089,23726,137,97,35774
7920,7920,2162,51410,903,39946,1001,18627,974,23536,687,25011,144,102,35772
7922,7922,2162,52027,1398,37701,1962,20059,472,22964,1155,24651,136,96,35774
7929,7930,2163,53531,1109,38781,957,20202,571,22910,316,24709,140,99,35792
7938,7939,2164,55425,1147,39068,856,20284,929,22095,710,23821,141,100,35815
7933,7934,2164,54179,1362,38257,684,20086,73,23094,972,24317,138,98,35804
7921,7922,2162,51858,1050,38151,1962,19439,198,21581,1398,23609,137,97,35775
7916,7917,2161,50410,1824,39558,1718,18672,1196,23149,400,25643,143,101,35766
7927,7927,2163,53147,728,39313,1401,19644,1120,22384,996,23883,139,98,35785
