activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
14905,14906,4160,37323,2846,60300,3263,34471,1555,39196,2214,44133,65,86,34986
14909,14909,4161,37835,2291,63385,3051,31160,1927,42453,598,46781,68,91,34990
14901,14901,4159,35774,2169,61688,2836,31658,625,39970,601,44896,64,86,34983
14895,14896,4159,35086,2710,61540,2644,30445,672,39876,1257,45039,67,89,34974
14891,14892,4158,34110,2081,62372,3066,29655,2148,40256,1119,46202,68,91,34969
14893,14894,4159,34532,2206,62071,2276,29352,1665,39514,1701,47497,66,89,34972
14898,14899,4159,36063,3133,59915,3183,31199,1013,37036,2122,44521,65,87,34976
14890,14891,4158,33584,2804,62694,2376,30637,890,38793,529,46381,68,90,34970
14863,14863,4154,27668,1763,62656,2459,30855,1626,39078,1590,45889,67,89,34936
14878,14878,4156,30989,3209,60968,3998,31546,1566,37482,1293,44765,66,87,34954
14871,14871,4156,29833,1794,62500,2698,30145,1449,38717,584,46381,67,90,34944
14866,14866,4155,28282,2588,61870,2978,29881,757,39519,702,46445,66,88,34940
14866,14867,4155,28619,2785,61774,2671,30558,963,38493,715,45425,66,88,34939
14865,14865,4155,28193,2441,61761,2584,31131,397,37652,468,45513,65,87,34939
14871,14872,4155,29382,2897,63655,3038,29827,2462,40308,1589,46894,69,92,34947
14879,14879,4157,31718,3105,61274,2610,31578,712,39341,673,44554,66,88,34953
14880,14881,4157,31976,2604,61796,2257,31346,931,38770,110,45147,66,88,34955
14874,14875,4156,30476,2975,62093,1791,31124,542,37900,324,46345,66,88,34949
14873,14874,4156,29793,2468,61434,2267,30252,520,38985,1167,45250,66,88,34950
14877,14877,4156,30628,2609,61104,1968,31651,542,38458,1198,45513,65,87,34954
14871,14871,4155,29414,3008,61205,2787,30498,984,38566,300,44759,66,88,34947
14860,14860,4154,26930,1962,61208,2306,29362,1209,39684,700,46850,67,90,34932
14854,14855,4153,25949,2319,61012,2213,30321,1282,39347,315,45843,67,89,34926
14863,14864,4154,28206,3828,59002,3530,30544,1278,37404,1474,43787,64,86,34935
14869,14869,4155,29075,1600,60473,2728,29687,2350,40074,1606,46237,68,91,34943
14867,14868,4155,28361,1645,59663,2356,30754,770,39223,432,45090,66,87,34944
14852,14852,4153,25096,2537,60408,3081,30283,858,38566,708,44815,66,88,34924
14845,14846,4152,23838,2466,61810,2727,28589,1942,40977,1499,47187,69,91,34914
14848,14848,4152,24579,2701,60199,3486,30478,1060,38795,234,44868,67,89,34917
14850,14850,4153,25008,2273,60698,3277,30321,585,38858,1324,45973,67,89,34920
14843,14843,4152,23569,3058,59846,3034,30802,419,38583,1602,44850,66,88,34911
14845,14845,4152,23926,2447,60490,2634,30845,586,40770,859,45893,67,88,34914
14840,14840,4151,22571,1955,60064,2351,30631,1351,39396,773,45502,66,88,34908
14841,14841,4151,22696,2438,60677,2413,27914,2156,39318,1807,45931,66,88,34911
14833,14833,4150,21083,3431,58249,3403,29953,562,37696,1068,43419,64,85,34901
14823,14823,4149,19052,2668,60079,2815,27615,1600,40790,467,45906,66,88,34888
14829,14829,4149,20052,1852,59982,1749,28084,1660,39529,741,45290,67,90,34896
14829,14829,4149,19947,1647,59856,2825,28490,995,40974,376,45263,65,87,34896
14842,14843,4151,23143,2456,60293,2621,27239,953,39321,297,45208,67,90,34912
14845,14845,4152,23796,3105,58050,2658,29188,772,38397,1405,44365,65,86,34915
14825,14826,4149,19284,2104,60150,2693,27578,1580,40023,393,46163,66,88,34892
14812,14812,4147,16187,1441,59705,2421,27804,635,38389,311,45333,66,88,34877
14817,14817,4148,16918,2620,60723,2524,27601,2446,40723,1225,46566,67,89,34884
14830,14831,4150,20424,2558,58426,3244,31654,777,39483,1494,44076,65,86,34899
14831,14831,4150,20648,2968,59976,2317,31258,539,38742,1259,44758,65,87,34899
14828,14828,4149,19562,2945,62173,2484,27979,1943,40887,1594,47818,68,91,34897
14836,14836,4150,21594,2599,59550,2258,30619,987,38988,1681,45374,67,89,34905
14841,14841,4151,22513,2931,60863,2131,29392,1307,38932,149,45704,68,90,34912
14832,14832,4150,20767,2942,59019,2749,30378,1076,38073,897,44224,65,86,34901
14809,14810,4147,15636,2665,60099,1982,28215,1318,40205,1306,46598,67,89,34873
14792,14792,4144,11832,2730,60923,2521,28811,545,39149,557,45664,66,88,34853
14805,14805,4146,14573,1753,60295,2653,30682,620,38814,542,44343,66,87,34870
14823,14823,4149,18911,2454,60621,3462,31846,141,39105,739,45338,66,87,34888
14826,14826,4149,19197,3216,60894,2593,30768,637,41392,401,44924,66,87,34894
14823,14823,4149,18763,3606,60634,2250,31209,1830,41102,840,44822,67,89,34888
14820,14820,4149,18700,3275,59615,3518,31924,115,39739,1416,43108,64,85,34884
14820,14820,4148,18050,1827,60862,3113,30346,1529,41357,706,45859,66,88,34885
14818,14819,4148,17785,2370,61701,2660,30104,708,41923,88,45687,67,89,34883
14811,14811,4147,15957,2129,61267,3054,29503,233,42465,296,46078,67,88,34875
14816,14816,4148,17395,2434,61373,2740,29992,775,41379,653,45784,67,88,34881
14809,14809,4147,16165,2230,61275,2071,28922,966,42423,418,45938,66,88,34870
14800,14800,4146,14095,1540,60572,2844,28919,435,43024,552,44756,66,87,34860
14797,14797,4145,13387,2568,62599,2135,27800,2106,44594,1036,46877,67,89,34856
14803,14803,4146,14399,3043,59853,3575,29627,557,42756,1814,45158,65,87,34865
14806,14806,4147,15448,1784,61688,2976,28008,1869,43690,1658,46512,68,90,34866
14798,14798,4145,13151,2695,60646,2928,30426,758,41703,1562,43779,65,86,34859
14791,14791,4144,11745,2222,62158,2587,27371,821,43416,621,46954,67,88,34851
14789,14789,4144,11309,2510,62063,2805,28407,966,42426,357,46207,67,89,34848
14797,14797,4145,13137,2568,62341,2421,28411,1276,42996,359,45778,65,87,34858
14802,14802,4146,14380,2633,61901,3292,28269,384,43609,1269,45669,66,88,34862
14803,14804,4146,14640,2372,61393,3144,29262,271,42111,366,44872,67,88,34865
14809,14810,4147,15687,2413,61961,2525,29378,1461,42950,212,44803,66,88,34873
14815,14816,4147,16865,2468,62089,3144,30650,148,42811,473,45420,66,88,34881
14798,14798,4145,12809,2398,62624,2312,30642,826,42338,776,44728,65,86,34863
14801,14801,4146,13666,1670,63219,2373,27879,1571,44407,553,46853,68,91,34864
14806,14806,4146,15193,2783,61948,3484,29583,871,41383,881,44216,65,86,34868
14828,14828,4149,19734,1297,62754,2350,28735,797,43710,680,46663,68,90,34895
14836,14836,4151,22012,2502,62184,2160,29677,1116,42977,659,46410,66,88,34903
14838,14838,4151,22175,2024,60845,2172,31327,463,42928,982,44960,67,88,34907
14833,14833,4150,21246,2082,63177,2437,28042,2449,43965,969,46283,67,89,34899
14834,14835,4150,21274,2485,61038,2560,30576,449,42481,538,44932,65,87,34903
14848,14848,4152,24116,2285,61954,2822,29976,606,42466,1704,45019,66,87,34920
14852,14852,4153,24993,2420,62045,2161,30276,745,43499,593,46155,67,89,34925
14849,14849,4152,24495,1629,62963,2531,28097,1767,44696,347,46844,69,91,34920
14846,14846,4152,24000,1566,61800,2192,28094,1916,43603,646,46796,67,89,34916
14854,14855,4153,25953,2699,60781,2770,30206,1135,42094,1440,44183,66,87,34926
14863,14864,4154,27693,2316,62591,2754,29920,290,42771,708,44855,66,88,34937
14871,14872,4156,29655,2503,64338,3214,28562,2674,44796,2077,46906,68,90,34945
14871,14871,4156,29664,1307,62129,2397,29566,1114,44563,1234,44682,66,88,34944
14869,14869,4155,29389,3825,59680,3655,31102,267,42887,1782,43719,64,85,34942
14853,14853,4153,25454,2131,61814,2078,30231,1312,43856,347,45971,67,89,34925
