activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
137,185,52,14435,981,12552,311,2069,219,1669,227,564,8284,125,36261
138,187,53,15000,388,13121,1229,3087,444,1347,359,907,8249,125,36234
137,186,53,14930,87,12699,635,2608,136,1583,482,58,8321,126,36241
137,186,52,14587,98,13418,160,2884,483,1838,153,532,8279,125,36262
139,186,52,14622,648,12283,268,2682,464,1478,404,653,8155,124,36280
138,186,52,14810,480,12673,237,2503,664,2144,255,845,8255,125,36263
138,186,53,14923,420,13476,503,2051,946,1360,406,542,8217,125,36254
140,188,53,15761,188,12949,682,3302,831,2213,498,1107,8197,126,36254
138,186,52,14768,313,12555,634,2082,620,2024,728,606,8217,125,36257
138,186,52,14792,440,12699,291,2801,210,1905,627,326,8204,124,36265
138,185,52,14190,371,12274,68,2829,363,2539,376,353,8153,123,36260
139,186,52,14653,106,12595,252,2811,579,1593,450,701,8107,123,36266
138,187,53,15015,235,11998,218,2501,730,1766,641,322,8232,125,36254
138,185,52,14403,691,13024,421,3248,580,1555,715,341,8155,123,36245
139,186,53,14808,208,13367,582,2634,374,1807,348,522,8173,124,36272
138,187,53,14964,276,13014,362,2360,981,1959,524,709,8216,125,36286
137,184,52,13873,499,12408,193,3017,504,1521,530,300,8198,123,36271
138,184,52,13858,472,12507,677,3012,71,1561,557,483,8110,122,36236
139,185,52,14570,340,13721,689,2776,518,1916,234,289,8060,122,36239
137,185,52,14297,910,12751,495,2739,310,1819,1022,467,8207,124,36257
137,185,52,14417,298,12566,650,1952,1021,2383,126,219,8228,124,36269
138,185,52,14130,107,13076,584,2149,247,2090,154,349,8130,122,36249
136,184,52,13880,655,13281,381,2207,658,2294,393,828,8243,123,36240
137,184,52,14066,918,12847,822,1885,345,1561,628,603,8183,123,36238
138,185,52,14235,19,13179,271,2552,334,2399,509,543,8122,123,36252
137,183,52,13674,478,12279,834,2732,488,2278,781,756,8166,122,36251
136,184,52,13657,470,12815,213,2293,709,1403,769,253,8194,123,36255
138,184,52,13976,244,12555,378,2293,457,2281,370,135,8101,122,36246
137,183,52,13454,669,12758,395,2367,131,1448,188,682,8134,121,36260
137,184,52,13934,190,12300,297,2367,595,1596,517,471,8142,122,36262
136,183,52,13428,307,12412,460,2745,916,1934,489,269,8193,122,36239
136,183,52,13465,861,12438,334,2577,452,2255,306,926,8161,122,36239
136,182,51,13180,825,12707,223,2196,524,2083,575,820,8136,121,36238
139,184,52,14024,241,12854,309,2839,645,1621,372,324,8036,121,36258
138,185,52,14326,1274,12346,523,2568,98,2019,323,804,8110,123,36258
137,183,52,13386,793,13232,287,2917,312,1945,173,244,8109,121,36264
138,184,52,13782,289,13537,731,2612,194,1903,363,654,8063,121,36263
137,184,52,13721,197,12716,356,3487,307,1654,1068,706,8112,122,36239
137,183,52,13368,309,13042,211,2681,406,1260,564,1150,8077,121,36249
136,181,51,12782,266,13112,557,2481,485,1232,674,493,8033,119,36228
136,183,52,13532,594,12994,713,2272,235,1419,438,740,8222,123,36229
136,182,52,13276,323,13106,306,2492,666,1380,511,380,8150,121,36238
136,183,52,13633,615,12774,689,2653,294,2520,226,438,8223,123,36241
137,184,52,13949,182,12520,389,2549,148,1329,615,218,8152,122,36240
137,183,52,13530,264,12862,516,2594,487,1988,629,565,8115,121,36236
135,182,51,13095,157,12786,345,2050,411,1938,183,545,8178,121,36241
137,183,52,13400,348,12503,374,3253,69,2159,542,691,8090,121,36244
137,182,51,13197,603,11569,870,2944,504,2279,179,725,8088,120,36240
136,181,51,12709,711,12392,194,2808,88,2433,448,1042,8076,120,36218
136,182,51,13024,680,12484,873,2583,179,2068,442,257,8062,120,36218
136,182,51,12973,477,12240,822,2592,401,2324,953,492,8112,120,36213
135,180,51,12348,502,12900,203,3406,305,1607,310,135,8118,119,36214
136,183,52,13299,59,12510,827,2610,502,1908,814,381,8141,121,36233
136,181,51,12687,770,12135,376,2289,716,1989,15,616,8021,119,36230
136,181,51,12632,345,12735,335,2294,679,1471,509,745,8047,119,36219
136,182,52,13216,471,12933,824,1746,108,1074,650,1042,8108,121,36220
135,180,51,12247,305,12541,421,2511,775,1830,75,675,8043,118,36214
136,180,51,12440,562,12598,624,2420,71,2536,228,440,8004,118,36202
135,180,51,12427,483,12422,334,2547,780,1627,444,955,8079,119,36200
134,180,51,12279,144,12191,497,2644,690,2444,297,357,8149,120,36208
137,181,51,12709,655,12388,239,2355,103,2141,571,371,7968,118,36241
136,181,51,12721,386,12649,812,2523,720,1697,411,831,8105,120,36261
135,181,51,12631,801,12631,377,3078,222,2186,416,756,8119,120,36209
136,180,51,12313,354,12362,628,2428,303,1486,319,482,7981,118,36185
135,181,51,12510,362,13038,223,2200,114,1547,850,680,8089,119,36202
135,181,51,12602,530,12791,647,2647,1146,1923,484,604,8126,120,36216
136,181,51,12841,336,12842,469,2593,279,1948,377,604,8067,120,36218
135,180,51,12331,686,13259,584,2015,20,1562,721,834,8101,119,36205
137,182,51,12908,729,12676,315,3161,368,1095,180,842,8036,119,36206
135,179,51,12067,672,12733,209,3190,536,1887,942,562,8050,118,36193
135,180,51,12305,611,13012,770,2810,273,2223,691,223,8111,119,36211
135,181,51,12571,524,12454,161,2999,471,1668,352,749,8123,120,36218
