activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
7945,7945,2166,57605,1487,36088,1766,18815,400,20119,207,23059,142,101,35821
7942,7943,2165,56682,340,35292,1939,19101,559,20746,277,23355,142,100,35819
7941,7941,2165,56606,1321,35894,1301,18156,548,21493,1526,24330,143,101,35813
7943,7943,2165,56763,1062,35573,1712,18342,309,20623,972,23076,139,99,35821
7939,7940,2165,55795,1267,35971,1328,18075,256,19903,278,23245,136,97,35814
7931,7931,2164,54507,1518,35524,1480,17515,295,19999,375,23482,141,99,35790
7929,7930,2163,53757,1039,35611,1402,16568,1592,21781,756,24643,145,103,35790
7931,7931,2163,54037,1632,35172,1255,18191,406,19515,957,23818,141,99,35796
7931,7931,2164,54170,1492,36225,1363,17008,489,20374,436,23891,143,101,35793
7928,7929,2163,53687,1818,35690,1604,17098,513,20347,114,24467,141,99,35786
7932,7933,2164,55061,1903,35312,2382,18781,734,19659,1198,22451,141,100,35791
7938,7938,2165,55677,1005,36168,1396,18615,121,20645,526,23633,143,102,35810
7938,7939,2165,55974,1347,35612,1073,17427,1727,20128,340,25422,143,101,35807
7933,7934,2164,55009,1962,35119,1072,18158,511,19851,1693,23993,139,98,35797
7933,7934,2164,54843,936,36310,1123,17060,1082,21198,254,24501,141,100,35797
7934,7934,2164,54969,1637,35436,1007,17807,871,21069,675,24235,140,99,35799
7936,7937,2164,55367,1394,35666,1290,17466,413,19713,499,23683,141,100,35805
7939,7940,2165,56128,985,35635,938,17008,331,19559,706,24476,144,102,35811
7939,7940,2165,56270,633,36439,1552,16995,479,20065,890,24449,139,99,35810
7935,7936,2164,55081,1437,36197,1318,17587,952,21041,266,23717,142,101,35804
7936,7937,2165,55873,1655,34914,2092,19079,275,20317,1647,22633,137,97,35801
7932,7933,2164,54811,1529,35683,1732,17083,636,21043,564,24660,141,99,35793
7930,7930,2163,53657,2051,36134,1867,16986,804,21240,261,24595,141,100,35794
7928,7928,2163,53411,1209,35551,1562,17461,483,20508,594,24558,143,101,35788
7932,7933,2164,54253,668,35803,1695,16999,768,20967,544,24773,142,100,35798
7932,7933,2164,54584,1058,35898,1799,16812,784,20554,135,24483,142,101,35797
7935,7936,2164,55193,1654,34821,1108,17719,668,19004,891,23556,142,100,35804
7936,7937,2164,55325,1491,35428,1799,18067,543,19640,806,23451,140,99,35808
7935,7936,2164,55394,1607,36597,1328,16087,681,21027,996,24776,144,102,35802
7935,7936,2164,55162,1530,34975,1792,18084,393,20519,275,23330,141,100,35804
7928,7928,2163,53211,1126,35935,1646,17742,594,21060,419,22935,141,100,35790
7930,7931,2164,54203,1086,35753,1299,17015,1083,21898,218,24070,142,100,35791
7933,7934,2164,54566,1938,36308,1431,17202,979,21096,754,24030,140,99,35799
7934,7934,2164,54900,2072,36676,2025,15866,1924,21682,523,25465,143,101,35799
7939,7940,2165,56217,427,35679,1799,17223,549,20260,448,24158,142,101,35811
7941,7942,2165,56593,2359,35164,2155,19261,1168,19973,760,23676,140,99,35817
7938,7939,2165,55692,1474,36323,1474,17510,1244,21476,906,24604,144,102,35812
7936,7936,2164,54860,1318,35791,1621,17090,707,20960,775,24191,141,100,35809
7940,7940,2165,56380,746,36182,1169,17421,384,20054,364,24630,142,101,35811
7939,7939,2165,55939,1284,35164,1573,19041,996,19230,1065,22984,141,100,35812
7945,7945,2166,57589,1429,36231,905,17299,375,20915,529,24072,142,101,35821
7947,7948,2166,58090,1274,35307,1402,18263,351,20329,995,23206,142,101,35827
7940,7941,2165,56416,1705,36030,1741,18503,231,20378,670,23652,142,101,35813
7936,7937,2164,55579,1036,35881,1306,17384,370,20333,400,23467,141,100,35803
7934,7934,2164,54705,1049,35686,1406,17680,1119,21061,1293,24178,144,102,35801
7941,7942,2165,56841,1214,34662,1841,17057,355,20189,229,24192,142,100,35813
7944,7945,2165,56986,1770,36070,1404,17886,465,21028,331,23519,140,99,35825
