activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
1,1,14,780,999,677,569,215,540,746,131,816,23855,1,35697
0,0,14,209,665,492,794,389,676,266,579,602,27795,0,35691
0,1,14,555,962,233,190,353,515,824,397,624,24280,1,35679
0,1,14,491,150,356,272,424,524,420,485,772,29054,0,35678
1,1,14,631,196,419,493,187,370,931,969,525,33811,0,35686
1,2,14,841,456,447,263,407,355,486,567,486,24523,1,35689
1,1,14,712,356,401,895,183,147,631,752,528,32050,0,35707
0,0,14,397,1208,578,410,463,218,20,380,257,31413,0,35688
2,2,14,1226,1182,324,272,577,253,736,356,111,29968,1,35680
0,0,15,381,500,204,676,415,1006,323,375,656,24602,0,35679
0,0,14,457,142,313,390,402,668,346,744,120,28404,0,35675
0,1,15,510,1070,775,512,258,359,349,524,332,21619,1,35671
0,1,14,734,261,264,219,320,692,479,542,965,24942,1,35682
1,2,14,936,289,359,110,852,571,529,207,612,23970,1,35684
2,2,14,1182,228,664,763,298,428,79,180,570,29712,1,35650
1,1,14,558,563,155,527,660,302,297,716,626,34912,0,35600
0,0,15,442,102,492,382,557,241,211,1076,457,31247,0,35634
1,2,14,1126,300,426,266,508,906,487,590,414,27139,1,35691
0,1,14,411,165,261,574,903,268,547,850,662,24286,0,35705
1,1,14,507,343,166,626,550,105,436,690,845,32045,0,35686
1,3,14,1495,584,825,503,672,284,605,678,630,22775,2,35669
0,1,14,454,284,462,191,795,525,870,579,860,29213,0,35691
2,2,14,981,241,139,234,118,498,130,429,1268,33268,0,35712
1,1,14,637,405,633,312,360,388,306,318,471,34853,0,35701
2,2,15,1297,569,395,610,398,507,233,390,597,28151,1,35702
1,2,14,926,52,1002,675,720,131,281,613,678,25300,1,35707
1,1,15,778,150,302,419,922,110,336,240,599,24313,1,35709
2,2,14,1000,912,183,446,285,427,406,193,825,30680,0,35717
1,1,14,571,509,641,632,294,530,339,420,299,32538,0,35722
2,2,14,1150,236,402,216,862,620,91,183,430,30781,1,35704
1,2,14,997,278,773,151,795,482,327,132,144,26487,1,35693
1,1,14,680,676,635,474,435,79,312,958,502,27778,0,35707
0,1,14,498,310,744,539,321,106,531,557,156,27584,0,35731
2,2,15,880,231,620,659,144,83,944,265,152,33907,0,35744
2,2,14,1202,766,338,99,477,195,169,210,781,28893,1,35722
1,2,14,881,558,371,350,573,138,476,357,766,31949,0,35732
2,2,14,1292,322,513,1075,285,284,535,365,305,33572,0,35752
0,0,14,272,588,529,1273,292,115,589,624,730,30362,0,35733
1,1,14,629,368,635,804,149,393,275,232,228,31804,0,35705
2,2,14,1010,677,252,1008,513,108,578,255,487,34904,0,35714
0,0,14,110,633,159,501,467,48,689,702,564,17805,0,35738
2,2,14,1274,498,1071,891,739,227,365,622,524,32754,0,35735
1,2,14,915,159,440,566,163,982,998,217,227,31158,0,35731
1,3,14,1271,569,199,673,372,370,457,677,403,24591,2,35685
3,3,15,1333,272,752,679,489,275,688,389,1038,33777,0,35700
1,1,14,609,319,204,292,129,517,770,221,404,31258,0,35687
0,0,14,168,773,631,494,706,320,64,1070,322,34684,0,35682
0,1,14,875,158,325,389,559,101,133,58,1108,22083,1,35706
1,1,14,730,656,125,457,579,53,772,525,382,28430,0,35717
2,2,15,1020,987,319,826,677,526,731,496,617,32637,0,35710
1,1,14,606,746,421,690,334,299,250,708,188,29060,0,35709
0,0,14,429,1080,108,400,554,365,125,1246,311,33173,0,35674
2,2,14,1061,299,373,796,791,1064,643,756,241,31363,0,35667
2,2,14,1049,956,855,186,289,829,172,616,652,29682,1,35686
2,2,14,994,555,686,445,620,69,392,578,246,32362,0,35708
1,1,14,827,450,361,606,680,430,400,159,366,34437,0,35703
1,2,14,950,231,670,744,189,465,63,94,385,29203,1,35718
0,1,14,524,25,335,313,312,622,796,512,515,23640,1,35720
2,2,14,1203,244,517,175,928,468,433,706,880,27529,1,35690
3,3,14,1581,820,573,722,390,354,305,151,869,29168,1,35701
0,0,14,342,551,654,454,287,730,116,782,718,23564,0,35693
2,2,14,1246,655,501,409,855,273,541,343,264,32993,0,35694
1,1,15,513,364,531,175,684,892,203,293,868,33381,0,35677
0,0,14,440,295,761,772,204,647,671,330,817,26868,0,35689
1,1,14,856,462,274,924,697,746,329,141,443,30913,0,35682
2,3,14,1339,135,423,816,390,102,602,605,740,32254,0,35679
1,1,14,645,172,209,563,723,144,365,533,988,32650,0,35669
0,1,14,476,701,660,244,789,849,607,399,729,22274,1,35665
2,2,14,1038,214,768,778,496,328,110,994,299,30501,0,35711
2,2,15,1207,527,434,420,302,287,985,681,350,29020,1,35708
1,1,15,819,294,97,1083,625,206,547,553,660,33854,0,35706
0,0,14,327,841,334,237,529,587,623,576,287,31186,0,35693
0,1,15,684,418,617,19,656,672,311,421,354,19231,1,35672
1,1,14,737,519,255,292,489,542,1088,471,84,31556,0,35656
0,0,14,427,392,251,161,463,519,851,851,605,33206,0,35671
0,0,14,323,804,697,624,928,422,340,669,710,34300,0,35671
2,2,14,1049,617,237,722,763,356,536,363,675,33017,0,35676
1,1,14,747,614,53,100,493,219,418,372,623,34339,0,35665
0,1,14,759,48,525,368,114,272,662,277,435,24448,1,35640
0,0,15,327,421,306,295,434,602,839,73,386,4124,0,35653
1,1,14,710,1050,309,434,181,354,327,761,808,26507,1,35671
1,1,15,488,113,787,640,842,299,408,276,620,30845,0,35682
2,2,15,1121,454,524,148,335,681,437,192,611,34882,0,35666
0,1,14,521,210,522,961,560,790,511,142,797,30312,0,35643
1,1,14,855,858,284,1004,451,362,615,77,245,31642,0,35677
1,1,14,742,934,339,492,183,900,946,485,1095,28982,0,35729
0,0,15,241,500,355,270,288,408,72,928,335,35051,0,35727
0,0,14,262,182,827,288,923,799,208,471,498,27693,0,35706
0,0,14,166,314,1183,123,702,290,495,267,250,34782,0,35688
0,1,14,770,374,1039,468,568,685,928,709,455,22745,1,35689
2,2,14,1085,236,144,136,930,412,335,483,227,28967,1,35714
2,2,14,1112,201,365,271,582,452,94,223,682,33145,0,35683
1,2,14,924,28,463,782,316,517,776,310,544,31921,0,35658
1,2,14,899,421,205,53,326,772,1041,195,364,28632,1,35687
1,2,14,976,476,541,243,398,290,435,163,272,29437,1,35721
0,1,15,461,883,179,480,612,737,417,248,431,30994,0,35727
2,2,15,1044,171,704,384,744,342,244,147,430,33777,0,35714
1,2,14,1107,307,347,585,307,702,175,317,397,26530,1,35703
1,1,14,626,439,702,510,571,310,196,317,193,34221,0,35696
0,0,14,259,764,651,331,539,571,438,564,977,26336,0,35711
2,2,14,1002,396,328,181,341,354,885,534,542,34800,0,35699
